x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,value,Timestamp
1,0,2,3,3,3,0,1,1,0,3,1,3,0,1,0,1,1,1,1,0,3,2,0,3,3,2,0,3,2,3,3,1,3,1,3,1,2,0,2,25.0,54587
3,2,2,2,2,1,1,0,3,0,1,0,0,2,3,0,1,1,3,1,0,1,3,0,1,0,1,2,2,2,0,2,1,0,1,3,2,0,3,1,20.0,56510
3,3,0,1,0,2,2,3,2,0,3,2,2,2,1,0,2,0,0,2,3,3,0,1,0,2,2,0,0,1,0,1,1,2,0,0,0,1,0,0,25.0,58451
3,2,1,0,3,2,0,3,0,3,0,1,1,1,2,2,2,1,0,3,1,3,1,3,0,0,0,3,1,1,2,1,0,2,3,2,3,0,0,0,25.0,60351
0,2,2,0,3,2,3,3,2,1,1,0,3,2,0,3,1,0,0,1,2,2,3,1,3,3,0,0,1,0,1,0,0,3,3,1,1,3,0,1,25.0,62410
0,2,2,0,3,3,0,2,2,3,0,1,1,0,2,2,1,3,1,3,3,2,2,1,0,2,3,1,3,2,0,1,0,0,3,3,0,1,3,0,25.0,64387
3,2,3,1,3,2,3,1,3,0,3,0,1,1,3,3,0,2,3,0,1,2,0,0,3,3,0,2,2,1,1,3,1,2,0,0,2,3,0,1,22.5,66452
0,2,1,3,1,2,0,2,2,1,1,1,3,2,0,2,2,0,1,2,3,1,3,2,0,2,0,2,2,0,2,3,2,0,0,1,1,2,1,0,100.0,68415
3,3,2,2,0,0,1,1,3,3,3,1,1,1,2,0,1,3,3,1,3,3,2,0,0,2,2,1,0,3,0,3,3,0,2,3,2,2,2,1,18.0,70601
1,2,3,1,3,1,2,0,2,1,2,2,2,1,3,3,0,0,0,2,2,2,2,3,0,1,0,0,1,1,3,0,3,3,0,1,1,0,2,1,25.0,72666
0,2,2,0,2,0,2,1,0,2,0,3,0,1,0,1,2,0,1,2,1,2,1,2,1,1,3,1,3,2,1,3,1,0,0,0,1,2,1,2,25.5,74557
0,2,3,1,0,3,3,2,2,1,3,2,3,1,3,3,0,3,0,3,0,1,1,1,0,2,1,2,2,3,1,0,3,3,0,0,2,3,3,2,25.0,76652
2,3,0,3,0,0,2,2,0,2,0,0,3,1,1,0,1,0,0,0,3,1,0,3,1,2,3,1,3,2,0,0,1,0,3,1,3,2,3,2,25.0,78488
1,2,2,0,1,3,3,3,1,3,1,1,0,1,1,3,3,2,1,2,1,3,1,0,2,3,2,3,1,2,3,2,0,0,3,3,3,0,0,1,25.0,80651
2,1,1,2,0,3,1,0,3,2,0,0,2,1,0,0,3,1,1,3,3,0,3,2,1,2,1,2,3,1,2,3,1,1,3,1,2,0,2,2,25.0,82808
3,2,3,1,3,1,2,3,0,1,1,2,1,0,1,0,1,0,0,1,1,2,3,2,1,1,0,1,2,3,3,0,0,0,3,2,0,0,2,0,25.0,84717
1,2,2,1,0,2,0,1,3,2,2,1,3,1,3,3,2,0,3,2,1,1,1,0,3,1,2,2,0,1,0,3,2,0,0,3,2,3,3,3,25.0,86812
0,2,0,3,2,0,2,1,2,0,1,0,1,2,1,2,3,2,3,1,0,2,0,3,3,3,3,0,0,3,0,1,3,3,2,1,2,0,1,1,23.0,88726
0,1,1,1,2,1,0,1,0,1,0,3,0,2,1,0,1,3,3,2,2,2,2,1,3,0,2,2,0,3,2,2,2,0,1,3,3,0,1,1,42.5,90817
0,3,3,2,1,1,3,2,1,1,3,0,3,0,0,2,3,2,3,1,1,3,0,1,2,1,0,0,0,0,1,3,0,1,2,0,0,0,3,3,27.5,92685
0,1,1,1,2,3,1,2,2,3,3,0,0,0,3,2,1,0,2,0,2,2,3,1,1,0,2,1,2,1,3,3,3,2,1,2,2,3,0,0,25.0,94800
0,0,0,3,3,2,2,1,2,1,0,2,0,0,0,2,3,3,2,3,0,2,1,3,2,3,3,0,2,3,0,0,3,0,2,0,1,3,0,3,25.0,96625
0,1,2,1,1,1,0,0,0,3,3,2,1,0,2,3,2,1,1,3,0,0,0,1,2,0,0,2,1,0,1,1,1,1,0,2,0,1,1,2,32.5,98682
2,1,1,2,2,2,0,1,1,0,1,3,1,1,2,3,0,3,0,1,2,2,0,2,3,0,1,1,0,0,1,1,3,1,0,0,1,2,1,2,25.0,100621
0,1,0,1,1,2,0,1,1,2,2,2,1,2,3,2,2,3,3,0,3,0,0,1,0,0,1,2,0,1,2,3,3,0,1,1,2,3,3,2,25.0,102696
2,1,2,1,1,3,3,2,2,0,3,3,1,2,1,1,1,3,0,1,0,1,1,1,2,3,2,2,2,1,2,3,0,1,0,1,1,3,3,1,25.0,104687
2,3,3,3,0,0,0,3,0,0,2,2,2,0,3,3,1,1,0,1,2,1,3,0,0,3,2,3,2,0,3,1,0,1,0,0,2,2,1,2,25.0,106691
1,1,1,3,1,3,2,3,0,2,2,2,3,0,1,3,2,2,2,2,3,3,0,2,3,1,1,0,3,2,0,3,1,2,3,2,0,0,0,3,25.0,108617
2,1,2,3,3,0,2,0,1,3,3,2,3,0,1,1,1,1,0,1,2,0,3,2,0,3,2,1,3,3,1,2,2,0,1,3,0,3,3,0,25.0,110751
0,3,3,2,2,0,1,2,1,3,3,1,3,0,3,0,0,0,2,1,0,1,3,1,1,3,2,0,1,1,0,1,0,1,1,0,2,3,1,3,46.0,112844
3,0,3,2,2,1,3,0,0,0,0,3,3,1,1,1,2,2,3,1,2,1,1,0,1,3,2,2,1,0,3,2,0,2,2,0,1,0,0,0,25.0,114691
1,0,2,3,0,3,2,1,2,2,0,2,1,2,0,0,0,3,1,3,0,2,1,3,0,3,0,3,3,3,1,1,3,1,3,3,3,1,0,1,25.0,116777
0,0,0,0,1,3,1,1,3,1,0,0,0,3,3,3,2,0,3,2,0,1,1,3,3,3,2,2,3,0,0,3,2,2,0,1,1,1,0,0,74.5,118574
1,2,0,3,3,3,2,0,0,0,0,2,3,0,3,3,1,3,1,1,0,1,0,3,1,1,2,1,0,3,2,3,0,3,0,2,2,2,0,1,25.0,120614
3,3,2,3,3,2,0,0,3,1,1,3,1,0,3,1,2,0,0,0,2,2,2,3,1,3,2,3,3,3,0,2,0,3,2,2,3,1,1,2,25.0,122583
3,2,2,0,1,3,3,3,3,2,2,1,2,1,3,2,3,2,2,0,1,0,0,2,3,1,3,0,0,2,3,2,2,2,2,2,3,1,2,0,25.0,124762
2,1,2,2,1,0,2,3,0,3,3,2,3,3,0,1,0,3,0,0,2,0,3,2,2,1,1,0,2,2,2,1,2,0,3,1,3,0,2,2,25.0,126872
3,0,0,2,3,2,0,1,3,1,0,3,2,2,1,1,0,2,0,1,2,0,3,0,1,3,2,0,1,3,0,2,3,2,1,0,1,1,0,1,25.0,128767
3,1,2,3,0,3,2,0,3,1,3,0,2,3,3,2,0,2,2,0,2,2,2,0,1,0,2,1,3,0,0,0,0,3,0,1,1,1,3,0,25.0,130817
3,3,0,3,0,1,2,0,0,0,0,0,3,1,2,2,0,2,3,3,3,3,2,1,0,2,2,3,1,0,2,2,3,1,3,3,0,1,3,0,25.0,132713
1,3,0,2,0,0,3,0,0,2,0,0,0,1,3,3,1,0,1,0,1,2,3,1,1,1,1,3,3,1,2,3,2,2,3,1,3,3,0,2,25.0,134605
1,3,1,1,0,3,1,1,0,3,3,2,0,3,3,1,0,2,3,1,3,0,2,1,2,1,2,0,2,0,2,3,2,0,2,3,1,1,2,0,25.0,136722
1,2,3,1,0,1,2,3,1,3,3,0,1,0,2,3,3,2,2,2,0,1,3,1,1,1,2,2,3,3,1,3,0,1,0,0,0,0,0,1,25.0,138802
0,0,3,2,1,2,1,2,1,0,2,0,3,3,3,1,3,2,2,1,0,3,3,3,2,1,0,2,2,0,3,2,3,1,1,1,2,1,1,1,25.0,140764
1,0,2,3,2,2,3,0,3,0,1,1,3,0,3,2,0,1,0,1,3,1,2,3,0,2,2,1,0,1,1,0,1,1,3,3,2,2,2,1,25.0,142894
2,0,1,0,3,0,0,3,0,2,2,1,2,1,2,3,3,0,0,1,1,0,2,1,1,3,0,3,2,0,3,3,0,1,2,3,0,0,2,3,25.0,144749
1,1,1,2,0,3,3,1,3,2,2,3,0,3,3,2,3,3,2,0,0,2,2,1,2,0,0,0,1,1,0,2,2,0,1,1,2,3,3,0,25.0,146808
2,3,0,1,1,2,0,1,1,1,0,0,2,1,0,2,1,1,1,1,0,0,0,0,2,1,2,1,2,2,3,2,3,1,2,0,2,0,3,3,25.0,148737
2,1,2,3,1,0,0,2,2,1,1,3,1,3,0,0,2,1,1,2,3,0,1,2,1,3,0,1,2,3,2,1,2,2,0,3,1,1,3,3,25.0,150856
3,3,0,0,3,3,2,3,0,1,1,1,0,0,2,2,1,1,0,1,2,0,2,1,1,2,3,1,2,2,3,3,1,2,0,1,0,1,2,3,25.0,152987
1,1,3,3,1,2,1,1,0,0,3,0,1,3,0,2,1,2,3,2,2,2,3,2,2,2,3,2,3,3,2,0,1,1,1,1,0,2,1,2,25.0,155006
0,1,1,1,0,1,1,1,0,1,2,3,1,3,1,0,1,2,3,3,2,3,2,2,0,1,1,2,3,3,1,0,3,3,0,1,1,3,1,1,25.0,157203
0,3,1,2,2,1,0,1,2,3,2,2,2,3,2,1,2,3,0,1,3,1,1,3,2,3,1,3,3,0,1,2,0,0,3,2,2,3,0,1,25.0,159361
3,3,3,2,1,1,0,1,2,2,0,1,2,2,1,2,1,0,3,2,2,2,2,3,2,0,1,0,2,3,1,1,0,1,3,3,2,2,0,3,25.0,161522
1,1,2,0,2,3,2,0,0,3,0,2,0,1,0,2,1,3,3,3,0,0,2,1,1,1,1,3,2,2,3,2,1,0,2,3,2,2,0,0,25.0,163457
1,2,0,0,1,2,1,3,2,1,2,1,3,3,1,3,0,1,0,0,2,2,1,1,2,0,3,3,3,3,1,2,2,3,0,1,3,0,1,3,25.0,165517
3,1,2,3,2,2,3,3,0,2,0,1,2,0,2,2,3,2,2,1,0,3,0,2,3,0,2,3,0,3,2,0,0,3,2,3,2,3,3,2,25.0,167473
0,0,0,1,3,3,3,0,1,0,1,3,3,3,3,1,1,1,0,2,2,2,0,3,0,0,3,2,2,3,2,3,3,1,3,0,0,3,1,1,61.0,169537
3,1,1,3,2,3,0,0,0,2,0,2,3,1,0,2,3,0,1,2,2,1,3,3,1,1,1,2,0,3,0,1,2,1,0,0,2,2,2,0,18.5,171607
3,3,1,3,1,0,0,0,3,3,1,0,2,2,1,1,3,1,3,1,1,1,2,1,0,3,0,0,1,2,1,0,3,2,3,3,0,3,3,3,37.0,173614
3,1,3,3,1,3,0,0,3,0,2,2,1,2,2,1,2,1,1,3,1,1,2,1,1,1,2,0,3,3,3,2,3,2,2,2,3,3,0,2,25.0,175794
0,1,3,3,1,0,3,1,3,1,2,3,2,2,1,2,3,3,2,3,0,2,3,2,3,0,0,3,3,2,0,1,1,0,1,0,3,3,3,3,25.0,177945
1,2,3,2,0,3,2,3,3,0,0,3,0,3,0,2,3,0,2,0,0,2,1,3,1,0,0,2,2,1,1,0,3,1,0,0,3,1,2,2,25.5,179791
1,3,1,3,0,1,0,3,1,1,2,0,2,1,3,3,0,1,0,3,0,1,3,1,3,2,2,0,2,0,3,2,3,1,0,1,1,1,1,2,25.0,181939
3,3,2,2,1,1,2,1,1,0,3,3,3,0,0,0,3,2,3,2,3,1,3,0,0,1,0,2,2,2,0,2,1,2,1,1,1,1,3,0,25.0,183931
3,2,1,1,1,0,1,2,0,0,1,0,0,1,2,3,3,1,3,1,2,0,3,1,0,3,2,2,3,2,0,2,2,3,1,2,2,3,2,1,25.0,186070
0,3,2,2,0,1,1,0,3,1,0,1,3,0,2,2,1,2,0,3,3,0,2,2,0,3,2,3,1,0,0,2,3,0,2,0,2,1,2,2,25.0,187967
0,3,0,3,3,0,2,2,3,0,3,1,2,3,2,0,1,1,1,2,1,1,0,0,2,3,1,0,0,0,3,0,2,0,2,2,2,1,1,3,25.0,190060
1,2,0,2,0,2,0,2,0,0,2,2,3,0,1,0,1,0,2,2,2,0,2,1,0,3,0,0,3,0,1,0,0,2,0,3,0,0,3,3,25.0,191759
0,0,0,3,0,3,1,3,3,2,0,3,1,3,3,1,3,1,2,2,1,1,3,2,1,0,2,2,3,1,1,3,0,3,3,3,1,0,2,0,25.0,193858
2,0,0,3,1,3,3,2,1,0,2,3,0,2,0,0,3,3,1,0,2,1,2,0,2,2,0,3,1,1,1,2,3,1,2,1,0,0,2,2,25.0,195756
1,2,3,0,3,1,3,3,1,0,3,0,1,0,0,0,2,2,1,3,3,2,0,3,2,0,3,1,0,2,2,1,2,1,0,1,3,2,0,3,25.0,197785
3,1,2,2,3,3,0,2,0,3,0,3,1,1,0,1,1,0,0,0,2,2,1,3,2,3,3,0,2,3,0,2,2,2,1,2,1,3,0,0,25.0,199647
1,1,0,2,0,1,1,0,3,2,2,1,0,1,0,1,0,0,3,1,3,3,3,2,2,3,2,3,0,1,0,3,0,1,3,3,1,2,3,1,25.0,201727
0,3,1,3,3,1,2,2,2,1,0,0,3,1,2,0,1,0,3,0,2,3,0,0,0,0,3,0,2,0,0,0,3,0,0,2,0,1,0,0,25.0,206404
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,210400
3,2,2,3,3,3,0,0,2,3,1,0,0,2,2,3,3,0,2,0,1,3,1,0,3,2,1,0,1,0,0,3,3,0,0,3,1,0,3,1,25.0,214820
3,1,2,1,0,3,0,1,0,1,1,2,1,1,0,0,1,1,1,3,0,1,0,0,0,0,2,0,0,0,1,0,1,2,0,2,0,2,2,0,25.0,216652
0,1,0,3,2,0,0,2,3,1,0,2,3,3,2,1,1,0,0,0,0,3,0,3,3,2,2,1,2,0,1,2,0,1,3,0,1,0,2,0,25.0,221646
3,3,2,2,2,0,1,1,3,3,3,3,1,0,2,0,1,3,3,2,3,3,2,0,0,2,2,0,0,3,0,3,3,0,2,3,2,2,2,1,25.0,226298
2,2,1,0,1,0,3,2,0,1,1,1,3,0,1,1,2,0,3,2,3,2,0,3,0,3,1,1,2,1,0,3,3,3,2,1,2,3,2,1,25.0,228508
3,2,2,1,0,1,3,1,3,3,1,0,2,3,0,3,3,1,2,1,0,0,3,3,2,2,3,0,2,0,2,0,0,0,1,0,0,2,1,0,67.0,232928
3,1,2,3,0,3,0,3,0,1,0,0,1,0,1,2,1,3,0,0,1,0,2,3,1,3,0,1,2,0,2,3,0,0,0,0,0,1,1,0,15.5,237593
3,0,3,3,0,3,1,0,0,2,1,3,1,0,2,2,2,0,0,0,0,0,2,3,3,0,0,3,2,0,3,0,3,0,2,1,1,1,3,0,25.0,242620
0,3,0,3,0,3,1,0,0,3,2,2,1,2,1,3,1,2,1,0,2,2,0,2,2,2,3,1,2,3,0,3,0,3,0,2,1,1,3,0,25.0,247649
3,1,2,3,0,3,0,3,0,1,0,0,1,2,1,2,1,3,0,0,1,0,2,3,1,3,0,1,2,0,2,3,0,0,0,0,0,1,1,0,53.5,252473
0,0,0,3,0,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,25.0,256453
3,2,2,0,3,1,3,3,2,0,3,0,1,0,1,1,0,2,2,0,3,0,0,3,3,3,3,1,3,0,3,2,0,0,0,0,0,2,0,0,37.0,261197
2,3,1,0,2,0,2,2,3,1,1,2,0,1,3,3,3,3,0,2,1,1,0,1,2,2,0,3,1,1,1,0,1,1,0,3,3,0,3,0,25.0,263251
3,2,0,3,2,1,0,1,3,0,1,0,3,2,0,2,0,0,0,3,2,0,1,0,2,1,3,2,1,2,2,3,1,3,0,0,2,3,0,3,25.0,265335
3,0,1,1,0,2,2,0,1,3,3,0,1,2,3,3,1,1,3,1,0,0,2,2,0,0,2,2,2,1,0,0,0,0,1,1,2,0,1,0,25.0,270042
3,2,2,0,0,2,1,2,0,3,0,1,3,2,2,3,2,3,0,1,3,3,1,0,0,3,1,2,3,2,0,1,2,0,0,3,3,2,0,0,25.0,274501
3,0,0,2,2,2,1,0,0,0,1,2,1,2,0,2,3,0,0,2,0,0,3,1,1,3,3,0,3,3,0,1,3,1,3,2,2,1,2,0,25.0,279175
3,2,1,0,3,3,3,2,1,1,1,2,3,0,2,3,1,2,3,2,1,1,3,0,0,1,3,2,0,3,0,0,3,0,3,3,3,2,1,0,25.0,284084
3,1,2,3,0,3,0,0,0,1,0,0,1,0,1,2,2,3,0,0,1,0,3,3,1,3,0,1,2,1,2,3,0,1,0,0,0,1,1,0,25.0,288896
3,2,0,0,3,0,0,0,0,0,2,0,0,2,2,0,3,3,0,3,2,0,1,1,0,1,3,2,0,0,0,2,0,0,0,1,2,0,2,0,25.0,293227
1,3,3,3,3,0,3,1,2,0,2,0,3,0,0,3,1,1,2,1,0,0,2,1,0,3,0,1,2,2,3,1,1,1,0,3,0,0,1,2,25.0,295187
0,2,1,0,0,0,2,0,2,0,0,1,3,1,2,3,1,2,2,2,2,2,3,3,2,3,0,2,2,1,2,2,0,0,3,3,1,0,1,0,25.0,299855
2,3,1,0,1,2,1,2,1,0,0,0,0,1,0,1,3,0,1,2,0,0,1,0,1,0,0,0,1,0,0,3,1,0,2,0,0,2,0,0,25.0,304702
3,1,1,3,2,3,0,0,3,3,0,2,3,1,0,2,0,0,1,2,2,1,3,3,1,1,1,2,0,0,0,1,2,1,0,0,2,2,2,0,25.0,309446
3,0,1,0,3,3,1,2,0,0,1,3,0,0,0,1,2,1,1,0,0,0,3,3,2,3,2,3,0,0,2,3,0,0,3,2,0,0,1,0,25.0,314158
1,0,2,1,2,2,1,0,0,2,0,0,0,2,2,1,0,1,3,3,3,1,3,0,1,1,3,1,2,3,0,3,1,0,1,2,1,0,0,1,25.0,319074
3,3,0,3,2,1,3,1,2,3,3,0,0,3,0,1,2,1,0,2,1,3,3,0,1,2,3,3,2,0,1,0,0,2,2,0,2,2,3,0,25.0,323825
0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,18.5,327933
3,1,1,0,0,3,3,1,3,3,3,3,3,2,2,0,3,1,3,3,0,2,2,2,1,2,1,2,0,2,0,1,0,0,0,3,1,0,3,1,25.0,332663
3,1,2,3,0,3,0,3,0,1,0,0,1,0,1,2,1,0,0,0,1,0,2,3,1,3,0,1,2,0,2,3,0,0,0,0,1,1,1,0,15.5,337239
3,1,2,3,0,3,0,3,0,1,0,0,1,0,1,2,1,3,0,0,1,0,3,3,0,3,0,1,2,0,2,3,0,0,0,0,1,1,1,0,25.0,341402
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,18.5,345319
0,1,3,0,0,3,3,0,1,0,2,3,3,1,1,3,0,1,1,0,1,2,2,3,1,3,0,1,2,1,2,3,0,0,1,2,2,3,0,1,31.0,350154
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,25.0,354133
0,0,0,0,0,2,2,3,3,2,1,0,0,0,1,2,3,1,2,0,3,2,1,1,0,2,3,2,0,1,2,3,0,3,0,2,1,0,1,0,25.0,358749
2,3,1,2,0,1,3,0,3,3,3,1,3,0,2,3,2,3,2,2,0,1,3,2,3,1,3,2,2,3,0,0,1,2,1,3,0,2,0,2,25.0,360991
0,0,3,3,0,2,1,1,0,2,0,3,1,1,2,2,0,0,3,2,1,0,0,1,1,2,1,0,1,2,3,3,0,0,0,0,2,0,1,1,11.0,365768
0,1,0,0,1,2,0,3,0,0,0,3,0,0,0,1,0,0,1,0,3,0,3,0,1,0,0,0,0,0,3,3,0,0,0,0,2,0,2,0,25.0,370098
0,0,3,3,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,25.0,374482
0,0,2,1,0,0,1,0,0,3,0,2,0,0,3,2,0,0,3,3,1,0,0,1,0,1,2,0,3,1,3,2,0,0,3,1,3,0,1,3,25.0,378986
0,0,0,3,0,2,1,1,0,2,0,3,1,1,2,2,0,0,3,2,1,0,0,1,1,2,1,0,1,2,3,3,2,0,0,0,2,0,1,1,67.0,383512
0,0,2,3,0,1,0,2,3,1,1,3,3,0,0,2,0,0,3,2,3,3,0,0,0,0,0,0,0,2,0,3,0,0,1,2,2,3,1,2,31.0,388250
0,0,2,3,2,0,2,0,0,3,0,0,3,3,1,1,0,1,3,2,1,1,1,3,2,2,0,3,3,3,3,3,0,1,0,1,3,0,2,2,25.0,392802
0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,3,2,3,0,0,0,0,2,0,0,2,0,3,3,0,0,0,0,0,0,0,0,22.5,397144
0,3,3,1,3,2,0,0,1,2,1,0,2,2,1,0,1,1,1,2,0,0,0,3,2,2,0,2,1,0,2,3,0,1,1,2,1,0,1,1,25.0,401641
0,0,2,3,3,2,0,0,0,2,3,3,3,1,1,1,2,0,1,2,1,0,2,0,1,3,3,1,3,3,3,1,1,0,3,0,1,1,1,0,25.0,406502
0,0,1,3,0,2,1,1,0,2,0,3,1,1,2,2,2,0,0,2,1,0,0,1,1,0,1,0,1,2,3,3,0,0,0,0,2,0,1,1,25.0,411126
0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,18.5,415205
3,1,2,2,0,0,1,1,3,3,2,1,1,0,2,0,2,3,3,1,3,3,2,0,0,2,3,1,0,3,0,3,3,0,2,3,2,0,1,1,25.0,419993
0,0,0,0,0,2,1,3,0,3,0,3,0,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,18.5,424600
0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0,22.5,428769
0,3,2,2,0,1,3,1,1,1,0,1,1,2,3,1,0,1,0,2,3,1,3,1,2,0,1,2,1,0,2,0,0,1,1,3,1,0,2,2,25.0,433560
0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,40.0,437719
0,0,3,0,0,2,0,0,0,0,0,3,0,2,1,1,1,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,25.0,442130
0,0,3,3,0,2,0,3,0,0,0,3,0,3,0,1,0,0,0,0,3,0,0,0,0,0,1,0,2,0,2,3,0,0,0,0,1,1,0,0,25.0,446504
