x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,value,Timestamp
2,2,3,2,1,3,3,0,0,2,1,3,3,2,2,0,0,0,1,0,84.5,164026
1,1,0,1,3,2,2,0,3,0,3,0,2,1,0,3,3,2,0,2,84.5,167990
2,2,0,3,1,0,0,2,0,2,3,3,0,1,1,1,0,1,2,3,73.5,170916
3,2,1,0,3,1,3,0,0,1,1,2,0,1,3,1,3,1,1,2,73.5,173965
2,0,1,3,2,1,3,1,1,3,3,3,0,0,2,3,2,1,2,1,50.0,177979
2,0,3,3,3,2,2,0,2,1,1,0,1,3,0,2,0,1,3,2,51.0,181562
1,0,3,2,2,0,0,1,0,0,2,2,2,0,3,3,1,3,1,3,45.5,184745
0,3,0,0,2,3,2,0,3,3,1,1,3,2,3,1,3,0,1,1,45.5,188050
3,0,3,1,3,1,1,0,3,2,3,1,1,0,2,0,3,0,2,0,50.0,192013
0,0,0,0,1,2,0,3,3,1,1,1,1,0,0,1,2,0,3,2,95.5,194274
0,1,0,0,0,3,3,1,3,1,1,3,1,1,2,1,3,2,2,0,51.0,197128
2,2,1,3,2,2,0,2,2,1,0,0,3,2,2,0,3,1,1,3,95.5,200195
3,2,0,3,3,1,2,2,1,0,1,1,1,1,1,0,3,2,3,3,45.0,203434
3,2,0,0,2,2,0,1,2,0,3,1,3,1,2,3,0,2,2,0,83.0,207085
2,1,0,3,3,2,3,2,0,3,1,1,2,2,2,0,1,3,2,0,69.0,211239
0,2,2,2,3,2,3,0,2,0,0,3,3,2,0,1,0,1,0,2,69.0,214956
2,0,1,1,1,3,0,1,0,0,2,3,2,3,3,2,3,1,0,3,50.0,219168
3,2,3,3,0,1,3,3,3,1,3,2,0,1,2,1,2,1,1,1,31.0,223332
0,2,0,2,2,2,2,1,0,2,3,3,0,0,0,3,3,0,2,3,50.0,227191
1,1,3,2,2,1,0,3,0,2,1,2,3,0,2,2,0,3,1,1,51.0,229914
3,2,2,2,3,0,2,3,2,2,2,2,1,2,0,1,1,3,2,3,63.5,234071
2,0,3,1,2,2,2,3,3,2,0,2,1,3,2,2,0,1,2,3,39.0,237121
1,2,3,1,2,1,3,1,1,1,3,2,0,3,1,2,1,0,3,1,84.5,240933
0,3,1,0,1,1,1,1,3,0,3,2,1,0,0,0,1,3,3,1,51.0,244664
3,2,0,0,3,0,2,0,0,0,3,3,3,2,1,3,3,3,2,0,50.0,247994
1,0,2,0,1,0,1,0,0,2,1,0,0,0,0,2,1,2,2,0,71.0,251255
3,0,1,1,3,1,2,3,0,0,2,0,2,2,2,3,0,2,3,0,51.5,254339
1,2,0,1,3,0,3,3,3,0,3,3,1,2,0,1,0,2,2,0,51.0,258362
0,0,3,0,1,1,2,0,3,1,2,3,3,1,2,0,2,3,0,2,73.5,261047
0,1,1,2,3,1,2,1,1,2,0,3,1,2,0,1,3,3,3,1,73.5,265527
3,2,2,1,2,0,0,2,3,0,0,2,2,2,3,0,1,0,0,2,50.0,269092
1,1,3,0,3,3,3,3,1,3,0,0,1,2,0,1,1,3,0,0,51.0,272326
3,0,2,3,1,3,2,0,1,2,2,0,1,1,1,3,0,3,2,1,46.5,275361
1,0,3,1,3,3,1,1,3,2,1,3,2,2,1,2,2,2,2,0,111.0,278289
3,1,0,2,0,0,0,3,1,1,1,2,1,1,1,3,1,2,1,1,51.0,280721
3,0,0,0,3,3,3,2,2,0,3,1,1,1,1,1,0,0,2,3,50.0,283321
1,0,3,0,3,3,1,0,3,2,0,3,1,3,2,3,3,2,2,0,50.0,285935
0,1,2,0,3,3,1,3,1,2,3,1,2,3,1,0,0,3,0,3,68.0,288582
1,1,1,1,0,0,1,3,1,1,1,0,3,1,2,0,1,2,0,1,81.5,290755
3,0,2,0,0,1,1,1,3,3,2,2,3,1,0,3,0,2,2,1,39.0,293448
0,2,0,0,2,0,1,2,2,1,2,1,0,1,0,3,0,3,2,1,31.0,295794
3,1,1,1,0,0,0,3,1,1,1,2,1,2,3,2,3,0,1,1,51.0,298004
1,1,3,1,3,0,0,3,2,1,1,0,1,2,0,3,3,2,0,2,31.0,300608
0,3,2,0,1,0,1,1,3,3,0,1,3,2,1,1,3,0,1,2,84.5,303371
2,1,2,2,2,3,2,3,2,3,0,1,1,2,3,3,0,3,1,1,50.0,305955
3,0,2,1,0,1,2,3,2,2,1,0,1,2,0,0,2,1,3,2,59.0,308251
2,2,2,1,2,3,0,3,1,3,3,0,2,1,2,1,1,3,2,2,51.0,311043
0,1,0,3,2,2,1,3,3,1,2,1,1,0,2,3,2,1,3,1,51.0,313762
2,3,0,2,3,0,2,1,3,1,3,0,3,0,0,3,3,2,0,3,45.0,316059
0,0,1,1,0,0,3,3,2,3,3,3,1,3,2,3,0,1,0,3,51.0,318438
2,3,2,3,0,2,3,0,1,3,2,3,2,3,2,3,2,3,1,1,46.5,322743
0,3,2,0,2,0,2,1,1,3,3,3,3,2,0,2,0,0,1,3,45.0,325416
3,2,3,3,1,2,2,3,1,0,3,0,2,2,2,2,2,2,0,1,95.5,329852
2,0,3,2,3,1,2,3,3,1,0,0,2,1,1,2,3,2,1,0,39.0,334520
2,0,3,0,0,1,0,3,1,2,3,3,0,2,0,3,2,3,1,2,50.0,339333
0,0,3,1,2,1,2,1,3,1,0,1,1,0,0,2,2,1,0,3,95.5,343669
1,2,3,3,2,0,2,3,1,1,0,0,2,2,0,3,2,3,2,2,51.0,348223
1,2,3,1,0,2,1,3,3,2,1,2,2,2,1,3,3,1,0,1,84.5,352717
0,0,0,0,2,0,1,2,2,1,2,1,0,2,0,3,0,3,0,1,111.0,356823
1,1,3,1,3,0,0,3,2,1,1,1,1,2,0,0,3,2,0,2,50.0,361383
0,2,3,1,3,0,1,3,2,0,1,0,1,2,0,3,3,2,0,2,50.0,365440
0,1,2,2,1,0,1,3,3,2,2,0,1,2,1,3,3,0,0,1,50.0,369812
2,0,3,2,3,1,3,3,3,1,0,0,2,0,0,2,2,2,1,0,83.0,373855
0,2,0,0,3,3,2,3,1,0,0,0,2,2,1,1,0,3,2,1,81.5,376031
0,1,3,3,2,0,0,0,3,1,2,2,0,1,1,1,2,2,2,1,84.5,380359
2,0,3,1,2,3,2,3,3,0,0,2,0,3,2,2,2,1,1,1,50.0,384889
2,2,3,3,2,1,2,3,3,0,2,3,0,0,1,2,2,2,1,1,51.0,389157
3,0,1,1,3,1,2,2,2,0,1,1,1,1,0,2,3,2,1,0,84.5,391645
2,2,2,0,0,1,3,0,3,1,3,3,2,2,2,0,1,1,0,2,79.5,396183
1,2,3,3,0,1,3,3,3,1,0,2,1,1,2,1,2,1,1,1,43.5,401582
0,3,2,1,3,0,1,1,2,1,1,0,0,0,1,3,0,2,0,2,51.0,405709
1,2,3,0,0,0,0,2,2,0,1,0,0,2,1,2,0,0,2,0,45.0,409457
2,0,3,2,2,0,3,1,3,0,2,1,1,3,3,3,3,2,2,0,31.0,412048
0,2,0,0,2,0,1,2,2,1,1,0,0,2,0,3,0,1,2,1,73.5,416259
2,3,3,2,3,2,3,0,0,2,0,1,2,3,2,3,3,1,1,0,46.5,420629
3,1,3,1,0,1,0,3,2,1,1,0,1,2,0,3,3,2,0,2,63.5,425313
3,2,3,3,3,0,3,3,3,1,3,2,0,1,2,1,2,1,1,1,79.5,429814
0,3,0,0,0,0,2,1,2,3,0,1,2,0,0,0,1,3,3,2,51.0,432134
3,0,2,2,0,1,3,1,0,2,2,1,2,3,1,3,2,2,3,0,111.0,436474
0,2,0,0,2,0,2,1,0,1,3,1,1,1,1,3,0,3,2,2,83.0,440764
2,3,2,3,3,2,1,1,0,1,1,0,2,3,2,2,1,2,2,1,95.5,445162
0,0,3,2,1,0,3,0,3,1,0,1,0,3,3,3,1,2,0,0,50.0,449138
2,0,3,0,2,0,2,2,2,1,0,0,1,3,0,3,3,1,0,3,95.5,453499
1,0,3,3,3,2,3,2,2,0,1,1,2,2,3,0,3,3,2,0,111.0,458486
1,2,0,2,3,1,0,1,2,2,0,0,1,2,3,3,0,2,0,3,46.5,463173
2,1,3,2,1,3,3,1,3,0,0,1,1,1,3,0,1,0,2,0,50.0,467678
3,3,0,3,0,2,2,0,2,3,0,0,2,3,1,1,3,1,2,3,51.0,472318
3,0,3,1,0,0,3,2,3,1,1,0,0,3,2,2,2,1,2,0,73.5,476474
0,0,0,3,2,0,0,1,3,0,2,1,2,3,3,3,3,3,0,1,51.0,480604
2,0,3,1,3,1,3,3,2,1,1,1,2,3,3,2,3,0,1,0,51.0,485003
2,0,3,3,3,0,3,1,3,0,2,1,1,3,3,3,3,2,2,0,39.0,489296
0,1,3,2,1,0,3,1,3,0,0,1,0,3,3,0,3,3,2,1,81.5,493560
2,0,3,2,2,0,3,2,3,0,0,1,1,3,3,3,3,2,2,0,31.0,497313
1,1,3,0,2,1,1,3,1,1,1,0,1,1,0,3,3,3,0,1,51.0,501541
0,2,0,0,2,0,1,2,2,1,2,1,0,2,0,3,0,3,2,1,31.0,505360
2,0,2,3,2,1,1,0,2,0,0,1,0,2,2,1,3,1,0,3,68.0,507813
0,3,1,0,1,2,0,0,0,0,0,0,3,0,1,0,3,3,1,0,45.0,509728
1,0,3,0,3,0,0,3,2,1,0,0,1,2,0,3,0,2,0,2,59.0,513902
0,2,0,0,2,0,1,2,2,1,2,1,0,3,0,3,0,3,2,1,31.0,519003
0,2,2,1,2,0,3,2,2,2,2,1,0,0,0,3,0,3,3,1,73.5,523117
0,2,0,0,2,0,1,2,1,1,2,3,1,2,0,3,0,3,0,1,39.0,527493
0,0,3,0,2,0,1,2,2,1,1,0,1,3,2,3,0,3,2,1,39.0,531683
0,1,0,0,2,0,1,2,2,1,2,1,0,2,0,3,0,3,1,1,84.5,535737
2,3,3,3,3,3,3,1,3,0,1,3,1,2,3,3,3,2,2,0,50.0,540147
0,2,0,0,2,0,1,2,2,1,2,1,0,3,0,3,0,3,2,3,31.0,544362
0,2,2,0,3,1,1,2,2,0,2,0,0,3,1,3,2,3,1,0,50.0,548429
0,0,0,1,2,0,0,0,2,0,2,2,1,3,0,3,0,3,2,0,50.0,552580
0,0,0,0,3,0,1,2,2,0,2,3,1,2,3,3,3,2,2,0,50.0,556182
1,2,0,0,2,0,1,1,3,2,2,1,0,3,0,3,0,3,1,2,51.0,560235
3,3,0,2,1,2,3,2,1,0,2,1,0,3,1,1,0,1,1,3,31.0,563043
0,2,0,0,2,0,3,2,2,1,2,1,0,3,0,3,0,3,2,3,31.0,566688
3,3,0,0,2,1,3,3,1,1,2,1,0,3,1,3,0,3,2,0,69.0,571058
0,1,0,0,2,0,1,2,2,1,2,1,0,3,0,3,0,3,2,3,84.5,575869
1,0,0,2,0,1,3,0,1,2,3,0,2,3,1,1,3,2,3,3,51.0,579126
0,2,0,1,2,3,1,2,2,1,2,1,0,2,0,3,0,2,2,2,31.0,583477
2,3,0,0,0,0,3,2,2,1,0,1,0,3,1,0,0,1,0,0,111.0,587361
3,3,3,0,0,1,3,3,3,1,3,2,0,3,2,1,0,0,2,1,69.0,591655
2,0,3,2,2,0,3,0,3,1,1,1,2,3,3,3,2,3,2,0,111.0,595888
0,2,2,0,1,0,1,1,2,0,2,2,0,3,0,3,3,3,2,3,51.0,600172
3,3,0,2,1,2,3,2,1,0,2,1,0,3,1,1,0,1,0,0,31.0,604447
3,3,0,2,2,2,1,1,3,2,1,2,0,3,1,0,0,2,0,0,51.0,608130
2,2,0,2,1,1,3,2,2,1,2,0,0,3,3,0,0,2,0,2,68.0,612466
3,3,0,2,1,1,3,2,1,0,2,1,0,3,1,1,0,1,1,3,39.0,616638
0,2,0,0,2,0,1,2,2,3,2,1,0,3,0,3,2,3,3,1,31.0,620798
3,3,0,2,0,3,3,0,1,0,0,0,0,3,0,1,1,0,1,0,51.0,624892
0,2,0,0,0,0,1,2,2,1,0,1,0,2,0,3,0,3,2,0,111.0,628878
0,2,0,0,2,1,1,2,2,1,2,1,0,2,0,3,0,3,2,0,45.5,632799
0,2,0,0,2,0,1,2,2,1,2,1,0,3,0,3,1,3,2,3,43.5,637689
0,2,0,0,2,0,1,2,2,1,2,1,0,3,0,3,0,2,2,1,51.5,642295
0,2,0,0,2,0,1,2,2,1,1,1,0,2,0,3,0,3,2,2,31.0,645788
1,2,0,0,3,0,1,2,2,1,0,1,0,1,0,3,0,3,2,2,81.5,649106
0,2,0,0,2,0,2,2,2,0,0,1,0,3,1,3,0,3,2,2,84.5,652551
0,2,0,0,1,0,1,2,2,1,2,1,0,2,0,3,0,3,2,1,43.5,655979
2,0,3,1,1,0,3,1,2,1,2,0,1,2,0,3,2,3,2,2,95.5,659501
1,3,1,0,1,0,0,0,2,0,0,2,0,2,3,3,1,1,1,1,71.0,661642
2,1,0,0,3,1,1,1,1,3,1,1,0,3,2,2,3,3,0,1,45.5,665295
1,2,3,2,2,0,2,0,0,1,2,2,0,3,3,3,3,2,3,2,50.0,668934
0,2,0,0,2,0,1,2,2,3,1,1,0,3,0,3,0,3,3,1,111.0,672236
0,2,0,0,2,0,3,2,2,1,1,1,0,3,0,3,0,3,2,2,31.0,675697
0,0,1,1,2,0,3,0,2,2,1,0,1,3,3,3,3,2,1,2,111.0,679284
0,2,0,0,2,2,1,2,2,3,2,1,0,3,0,3,0,3,3,1,31.0,682797
0,0,1,0,3,1,0,0,3,0,2,2,2,3,1,0,0,3,1,2,45.5,684863
0,3,0,0,3,0,2,2,3,3,2,0,0,3,0,2,0,3,3,2,31.0,688362
0,3,0,0,2,2,2,2,1,1,1,1,1,2,0,3,2,3,3,3,59.0,691710
0,2,0,0,3,0,3,2,0,3,2,0,1,3,0,3,2,1,3,3,95.5,695333
0,3,0,0,2,0,1,2,2,3,2,1,0,3,0,3,0,3,3,0,84.5,699216
1,1,3,1,3,0,0,3,2,2,1,0,1,2,2,3,3,2,0,0,111.0,702817
0,2,0,0,2,0,1,2,2,1,2,1,0,3,0,3,0,3,3,2,31.0,706298
3,3,1,0,2,0,0,0,2,0,1,0,1,3,2,3,3,3,3,2,68.0,709569
3,3,0,0,0,2,1,2,1,1,2,3,0,3,2,2,0,1,2,2,111.0,713153
